Timestamp,Close,Open,High,Low,Volume
2021-03-09,1869.10,1831.57,1869.10,1801.29,1580000
2021-03-10,1794.14,1869.32,1875.98,1759.50,1660000
2021-03-11,1825.79,1794.28,1845.32,1729.05,1580000
2021-03-12,1766.90,1827.44,1841.19,1723.18,1520000
2021-03-13,1921.13,1767.05,1943.36,1730.46,1790000
2021-03-14,1849.06,1921.29,1932.36,1836.78,671560
2021-03-15,1792.38,1848.18,1890.59,1745.04,1700000
2021-03-16,1804.85,1792.08,1817.35,1715.97,1810000
2021-03-17,1823.35,1804.56,1837.88,1743.62,1500000
2021-03-18,1776.08,1823.72,1849.23,1760.83,1530000
2021-03-19,1809.64,1775.87,1848.88,1735.42,1200000
2021-03-20,1804.60,1809.09,1868.09,1801.60,27030
2021-03-21,1783.72,1804.60,1815.85,1748.47,1430000
2021-03-22,1682.37,1783.58,1806.62,1659.28,1580000
2021-03-23,1667.90,1681.50,1720.01,1654.14,1460000
2021-03-24,1582.38,1668.42,1739.82,1546.48,1880000
2021-03-25,1586.54,1582.23,1621.32,1550.11,1540000
2021-03-26,1698.60,1586.36,1699.27,1586.28,1640000
2021-03-27,1713.01,1698.68,1731.73,1667.12,1400000
2021-03-28,1686.80,1712.89,1724.74,1661.92,1310000
2021-03-29,1816.69,1686.88,1839.41,1678.38,1940000
2021-03-30,1841.01,1816.92,1857.65,1788.60,3030000
2021-03-31,1917.99,1841.01,1945.40,1774.66,2590000
2021-04-01,1967.96,1918.82,1983.84,1897.38,2080000
2021-04-02,2134.55,1968.12,2144.11,1949.99,2470000
2021-04-03,2008.59,2134.66,2137.68,2004.40,2010000
2021-04-04,2075.94,2007.82,2091.31,1982.00,1590000
2021-04-05,2106.41,2076.14,2127.89,2004.05,2310000
2021-04-06,2111.53,2108.81,2150.78,2047.48,1930000
2021-04-07,1961.46,2112.41,2128.25,1939.64,2300000
2021-04-08,2079.92,1962.44,2084.08,1951.83,1730000
2021-04-09,2066.93,2080.20,2101.07,2050.39,2470000
2021-04-10,2133.79,2067.26,2197.73,2058.23,2090000
2021-04-11,2151.42,2133.89,2164.76,2114.55,1970000
2021-04-12,2137.81,2150.79,2199.52,2103.73,2160000
2021-04-13,2299.93,2137.55,2315.47,2136.49,2380000
2021-04-14,2431.56,2299.25,2445.40,2281.49,2110000
2021-04-15,2514.22,2432.90,2541.90,2402.75,1910000
2021-04-16,2423.18,2514.55,2544.54,2302.30,2080000
2021-04-17,2318.33,2424.12,2493.93,2314.12,1730000
2021-04-18,2237.17,2317.88,2338.53,1948.93,2760000
2021-04-19,2160.63,2236.10,2275.87,2081.30,1900000
2021-04-20,2332.14,2161.06,2345.18,2058.00,1860000
2021-04-21,2360.81,2331.84,2467.51,2238.15,2100000
2021-04-22,2401.10,2360.32,2642.99,2313.46,3170000
2021-04-23,2367.31,2398.95,2440.21,2119.26,3460000
2021-04-24,2215.93,2367.35,2367.46,2159.60,1610000
2021-04-25,2316.48,2217.23,2355.20,2169.91,1020000
2021-04-26,2533.12,2320.63,2539.80,2305.97,1790000
2021-04-27,2665.24,2531.07,2677.95,2484.44,1450000
2021-04-28,2746.54,2665.83,2759.03,2562.74,1740000
2021-04-29,2757.36,2746.51,2797.52,2670.35,1650000
2021-04-30,2772.78,2757.02,2797.61,2726.03,1520000
2021-05-01,2944.66,2772.27,2951.74,2753.60,1510000
2021-05-02,2950.33,2945.04,2984.52,2854.12,1300000
2021-05-03,3429.37,2950.07,3451.44,2950.07,2320000
2021-05-04,3286.71,3429.48,3516.34,3188.90,2740000
2021-05-05,3522.76,3284.31,3540.78,3228.86,1870000
2021-05-06,3489.52,3522.74,3601.59,3380.60,1510000
2021-05-07,3481.22,3490.83,3583.34,3363.56,1350000
2021-05-08,3905.55,3479.81,3952.88,3453.37,1340000
2021-05-09,3922.23,3905.69,3979.77,3734.44,1940000
2021-05-10,3947.90,3923.48,4203.98,3669.84,2700000
2021-05-11,4167.78,3948.66,4177.53,3781.86,1270000
2021-05-12,3811.77,4173.61,4366.10,3794.15,2780000
2021-05-13,3719.62,3807.50,4031.99,3539.96,3210000
2021-05-14,4075.38,3719.46,4171.76,3694.54,2060000
2021-05-15,3641.65,4074.57,4129.99,3639.12,1940000
2021-05-16,3582.12,3643.67,3877.20,3351.92,2280000
2021-05-17,3279.68,3582.19,3582.27,3130.12,2850000
2021-05-18,3377.55,3280.50,3558.57,3244.93,2300000
2021-05-19,2435.69,3376.22,3434.01,1922.25,6420000
2021-05-20,2777.55,2436.59,2988.52,2163.40,4330000
2021-05-21,2433.11,2766.88,2931.66,2111.42,4230000
2021-05-22,2291.60,2433.09,2481.06,2162.84,2820000
2021-05-23,2101.34,2292.68,2379.89,1739.91,3520000
2021-05-24,2646.79,2101.30,2667.20,2080.87,3240000
2021-05-25,2705.09,2647.27,2747.49,2388.81,3280000
