Date,Close,Open,High,Low,Volume
2016-06-22,590.60,667.40,677.80,586.60,202320.00
2016-06-23,620.80,590.60,629.50,539.30,261740.00
2016-06-24,656.90,620.80,687.40,616.40,196690.00
2016-06-25,663.50,656.90,688.10,640.80,100460.00
2016-06-26,625.40,663.50,665.20,609.90,88930.00
2016-06-27,644.70,625.40,650.30,615.20,99810.00
2016-06-28,644.90,644.70,659.30,634.30,76660.00
2016-06-29,636.50,644.90,645.90,621.80,80220.00
2016-06-30,670.00,636.50,673.00,631.20,88200.00
2016-07-01,674.60,670.00,685.10,661.10,92230.00
2016-07-02,698.10,674.60,700.50,671.50,67380.00
2016-07-03,661.60,698.10,701.50,644.60,99270.00
2016-07-04,675.20,661.60,679.00,644.00,63910.00
2016-07-05,663.70,675.20,679.20,657.30,54640.00
2016-07-06,672.70,663.70,678.40,662.20,47050.00
2016-07-07,635.30,672.70,676.20,605.00,153610.00
2016-07-08,662.80,635.30,663.40,630.20,75890.00
2016-07-09,651.80,662.80,663.50,620.70,96010.00
2016-07-10,647.10,651.80,652.00,636.80,29260.00
2016-07-11,646.70,647.10,657.50,640.00,45940.00
2016-07-12,670.60,646.70,673.20,644.60,66590.00
2016-07-13,661.20,670.60,672.00,656.00,62960.00
2016-07-14,657.30,661.20,661.90,646.30,48200.00
2016-07-15,664.20,657.30,667.50,656.50,35830.00
2016-07-16,660.70,664.20,665.40,655.70,20390.00
2016-07-17,676.30,660.70,680.90,660.10,46840.00
2016-07-18,670.40,676.30,680.40,664.60,42580.00
2016-07-19,671.10,670.40,673.20,663.60,30400.00
2016-07-20,664.40,671.10,672.30,659.50,37560.00
2016-07-21,664.60,664.40,666.50,657.80,32170.00
2016-07-22,651.10,664.60,669.40,645.70,65900.00
2016-07-23,655.20,651.10,658.20,648.00,29890.00
2016-07-24,659.30,655.20,664.20,651.00,29820.00
2016-07-25,654.00,659.30,662.50,651.10,34380.00
2016-07-26,654.40,654.00,657.80,643.50,49390.00
2016-07-27,654.50,654.40,659.10,646.00,29890.00
2016-07-28,654.10,654.50,658.00,650.80,28110.00
2016-07-29,655.40,654.10,657.40,651.00,27040.00
2016-07-30,654.70,655.40,657.50,652.10,19350.00
2016-07-31,621.90,654.70,654.90,621.40,62890.00
2016-08-01,607.00,621.90,627.90,603.50,66660.00
2016-08-02,513.40,607.00,613.80,471.40,130910.00
2016-08-03,566.40,513.40,573.10,514.10,85930.00
2016-08-04,576.20,566.40,584.90,559.50,44820.00
2016-08-05,574.70,576.20,580.00,565.80,27890.00
2016-08-06,586.50,574.70,596.70,565.30,25380.00
2016-08-07,590.80,586.50,596.00,580.90,26200.00
2016-08-08,589.20,590.80,594.20,585.40,24880.00
2016-08-09,585.30,589.20,591.20,581.10,25970.00
2016-08-10,590.90,585.30,600.50,580.90,49570.00
2016-08-11,587.80,590.90,599.20,585.40,39830.00
2016-08-12,587.10,587.80,591.10,582.20,25500.00
2016-08-13,584.60,587.10,590.10,582.80,19300.00
2016-08-14,569.10,584.60,585.80,559.90,33070.00
2016-08-15,567.00,569.10,575.00,559.30,33770.00
2016-08-16,580.20,567.00,583.40,563.40,37690.00
2016-08-17,572.30,580.20,581.10,568.70,32760.00
2016-08-18,573.40,572.30,579.50,570.80,30390.00
2016-08-19,574.60,573.40,577.90,566.30,25530.00
2016-08-20,582.60,574.60,583.50,572.30,23120.00
2016-08-21,580.70,582.60,585.30,577.80,14160.00
2016-08-22,587.50,580.70,591.90,577.10,33560.00
2016-08-23,583.60,587.50,589.90,578.60,32080.00
2016-08-24,579.70,583.60,584.50,576.80,28060.00
2016-08-25,578.00,579.70,580.70,570.80,32730.00
2016-08-26,579.40,578.00,582.70,575.80,21170.00
2016-08-27,570.30,579.40,580.40,567.30,18690.00
2016-08-28,575.00,570.30,576.30,569.20,12830.00
2016-08-29,574.20,575.00,578.60,571.40,23860.00
2016-08-30,577.30,574.20,579.90,572.50,27480.00
2016-08-31,573.90,577.30,578.30,571.70,24930.00
2016-09-01,572.00,573.90,705.00,569.40,25870.00
2016-09-02,575.30,572.00,577.60,569.30,26610.00
2016-09-03,598.80,575.30,605.00,572.60,35700.00
2016-09-04,609.50,598.80,615.20,590.80,30690.00
2016-09-05,605.80,609.50,610.60,598.80,25290.00
2016-09-06,610.40,605.80,612.00,603.50,24330.00
2016-09-07,613.20,610.40,616.50,606.20,30030.00
2016-09-08,625.60,613.20,629.30,611.30,36330.00
2016-09-09,623.20,625.60,627.60,617.30,28330.00
2016-09-10,624.50,623.20,627.50,621.10,15280.00
2016-09-11,605.60,624.50,630.80,592.80,36540.00
2016-09-12,608.00,605.60,610.60,603.00,27950.00
2016-09-13,608.60,608.00,612.00,604.90,27520.00
2016-09-14,609.50,608.60,612.20,606.40,24240.00
2016-09-15,608.10,609.50,610.70,605.10,22690.00
